pitcher_id,pitcher_trackman_id,n_seasons_seen,n_seasons_agree,agree_rate,total_n_train
21571,66801,1,1,1.0,71
21588,71845,1,1,1.0,101
21595,74630,1,1,1.0,368
21733,75250,1,1,1.0,322
21754,75258,1,1,1.0,1013
21857,67588,1,1,1.0,22
21874,76355,1,1,1.0,581
21875,76329,1,1,1.0,783
22029,78366,1,1,1.0,129
22099,50813,1,1,1.0,62
22110,76355,1,1,1.0,462
22123,79825,1,1,1.0,630
22277,67119,1,1,1.0,1660
22278,69168,1,1,1.0,1216
22292,51668,1,1,1.0,404
22305,65241,1,1,1.0,42
22309,62360,1,1,1.0,1018
22332,64554,1,1,1.0,28
22458,464400,1,1,1.0,1465
22478,63103,1,1,1.0,34
22508,61268,1,1,1.0,955
22539,63961,1,1,1.0,80
22548,69645,1,1,1.0,248
22579,62595,1,1,1.0,48
22597,62929,1,1,1.0,221
22615,61295,1,1,1.0,515
22703,548384,1,1,1.0,2933
22722,66039,1,1,1.0,31
22739,64504,1,1,1.0,8
22763,65464,1,1,1.0,20
22784,65696,1,1,1.0,201
22820,63111,1,1,1.0,1375
22836,50298,1,1,1.0,54
22842,68249,1,1,1.0,19
22867,66305,1,1,1.0,598
22870,50393,1,1,1.0,67
22893,65514,1,1,1.0,9
22911,68556,1,1,1.0,869
22923,65509,1,1,1.0,186
22926,66557,1,1,1.0,124
22978,60140,1,1,1.0,631
23023,66859,1,1,1.0,219
23024,66493,1,1,1.0,263
23041,69969,1,1,1.0,17
23082,77563,1,1,1.0,232
23090,67263,1,1,1.0,935
23091,74748,1,1,1.0,31
23097,62920,1,1,1.0,52
23105,64861,1,1,1.0,747
23115,50036,1,1,1.0,50
23145,51897,1,1,1.0,181
23150,64041,1,1,1.0,33
23175,65827,1,1,1.0,45
23177,66201,1,1,1.0,247
23229,76650,1,1,1.0,1203
23236,50203,1,1,1.0,227
23240,67259,1,1,1.0,111
23294,63638,1,1,1.0,384
23302,67604,1,1,1.0,318
23332,63765,1,1,1.0,618
23334,50705,1,1,1.0,949
23342,67591,1,1,1.0,227
23348,493193,1,1,1.0,4
23349,67504,1,1,1.0,17
23361,67443,1,1,1.0,314
23362,67443,1,1,1.0,606
23383,67048,1,1,1.0,237
23385,67045,1,1,1.0,497
23415,458676,1,1,1.0,2982
23418,51143,1,1,1.0,728
23422,50126,1,1,1.0,2330
23424,65117,1,1,1.0,29
23426,79140,1,1,1.0,587
23428,69111,1,1,1.0,131
23429,65109,1,1,1.0,341
23462,67419,1,1,1.0,246
23475,52558,1,1,1.0,546
23485,52063,1,1,1.0,45
23498,69646,1,1,1.0,672
23499,65639,1,1,1.0,237
23500,68659,1,1,1.0,541
23516,65496,1,1,1.0,151
23534,60841,1,1,1.0,2538
23537,67863,1,1,1.0,79
23538,64893,1,1,1.0,174
23554,63292,1,1,1.0,1103
23556,74167,1,1,1.0,383
23557,68240,1,1,1.0,2075
23558,68242,1,1,1.0,1254
23560,50296,1,1,1.0,247
23564,76329,1,1,1.0,171
23599,67956,1,1,1.0,129
23600,65937,1,1,1.0,93
23618,68249,1,1,1.0,41
23633,50126,1,1,1.0,2951
23634,53139,1,1,1.0,1458
23636,60845,1,1,1.0,748
23637,67119,1,1,1.0,1129
23638,69168,1,1,1.0,312
23648,66660,1,1,1.0,230
23650,65665,1,1,1.0,671
23652,67640,1,1,1.0,39
23655,69656,1,1,1.0,2764
23670,67591,1,1,1.0,28
23673,69550,1,1,1.0,1060
23694,599683,1,1,1.0,2742
23703,69703,1,1,1.0,455
23713,69413,1,1,1.0,2076
23717,69435,1,1,1.0,1575
23747,51359,1,1,1.0,398
23748,69399,1,1,1.0,123
23754,63348,1,1,1.0,79
23758,621245,1,1,1.0,1459
23763,50813,1,1,1.0,26
23766,69934,1,1,1.0,1244
23783,69047,1,1,1.0,97
23794,65057,1,1,1.0,47
23843,68900,1,1,1.0,1114
23850,51058,1,1,1.0,92
23853,60337,1,1,1.0,1276
23856,67116,1,1,1.0,288
23857,65320,1,1,1.0,1134
23868,53469,1,1,1.0,56
23871,50464,1,1,1.0,732
23872,66492,1,1,1.0,127
23873,50430,1,1,1.0,23
23874,64498,1,1,1.0,54
23879,65844,1,1,1.0,43
23884,68556,1,1,1.0,108
23895,50596,1,1,1.0,14
23898,73211,1,1,1.0,2202
23902,65411,1,1,1.0,644
23903,50859,1,1,1.0,2153
23908,62056,1,1,1.0,48
23914,60841,1,1,1.0,2949
23932,50726,1,1,1.0,1267
23933,60768,1,1,1.0,183
23934,63961,1,1,1.0,163
23952,66160,1,1,1.0,86
23953,50203,1,1,1.0,473
23955,67259,1,1,1.0,52
23962,605541,1,1,1.0,2789
23963,50992,1,1,1.0,791
23966,50901,1,1,1.0,134
23968,65639,1,1,1.0,297
23972,67954,1,1,1.0,36
23984,50360,1,1,1.0,128
24011,65241,1,1,1.0,9
24012,67122,1,1,1.0,47
24013,65241,1,1,1.0,553
24020,69159,1,1,1.0,1444
24027,67048,1,1,1.0,74
24028,51097,1,1,1.0,624
24036,64501,1,1,1.0,30
24042,64596,1,1,1.0,383
24043,64021,1,1,1.0,2728
24044,69594,1,1,1.0,126
24051,63894,1,1,1.0,428
24055,592499,1,1,1.0,261
24056,61895,1,1,1.0,1257
24064,51460,1,1,1.0,411
24065,67467,1,1,1.0,91
24088,69328,1,1,1.0,323
24100,51264,1,1,1.0,407
24109,664641,1,1,1.0,2918
24110,68220,1,1,1.0,2019
24113,61156,1,1,1.0,91
24118,64580,1,1,1.0,486
24126,596043,1,1,1.0,1977
24135,52715,1,1,1.0,62
24136,50726,1,1,1.0,351
24140,543001,1,1,1.0,3000
24146,543557,1,1,1.0,1086
24147,51895,1,1,1.0,1286
24153,62146,1,1,1.0,112
24157,63961,1,1,1.0,115
24161,51143,1,1,1.0,171
24172,52873,1,1,1.0,25
24173,51809,1,1,1.0,328
24178,60336,1,1,1.0,604
24179,51359,1,1,1.0,262
24183,52395,1,1,1.0,484
24197,51948,1,1,1.0,381
24201,52902,1,1,1.0,48
24211,68585,1,1,1.0,618
24223,642098,1,1,1.0,1552
24234,52206,1,1,1.0,431
24237,67263,1,1,1.0,2876
24239,467100,1,1,1.0,1046
24241,592468,1,1,1.0,386
24248,51713,1,1,1.0,359
24253,571035,1,1,1.0,188
24262,51060,1,1,1.0,39
24265,52639,1,1,1.0,985
24268,69516,1,1,1.0,58
24269,543594,1,1,1.0,1987
24271,66609,1,1,1.0,862
24277,51460,1,1,1.0,142
24303,606162,1,1,1.0,1164
24306,623381,1,1,1.0,1416
24307,65343,1,1,1.0,1178
24311,68529,1,1,1.0,35
24313,571616,1,1,1.0,743
24327,607200,1,1,1.0,2904
24340,68200,1,1,1.0,175
24344,65109,1,1,1.0,970
24355,53754,1,1,1.0,563
24369,61156,1,1,1.0,76
24374,52530,1,1,1.0,28
24387,63950,1,1,1.0,1003
24388,532936,1,1,1.0,1312
24398,69360,1,1,1.0,112
24399,76118,1,1,1.0,327
24410,642558,1,1,1.0,2797
24411,77927,1,1,1.0,272
24423,642203,1,1,1.0,907
24424,676641,1,1,1.0,815
24434,53029,1,1,1.0,134
24440,606273,1,1,1.0,2246
24444,68856,1,1,1.0,1107
24447,53898,1,1,1.0,906
24459,645307,1,1,1.0,2125
24463,62754,1,1,1.0,1071
24465,658792,1,1,1.0,1296
24467,68900,1,1,1.0,1012
